DATE	TIME	OPEN	HIGH	LOW	CLOSE	TICKVOL	SPREAD
2023.06.30	13:00:00	1.08449	1.0853	1.08405	1.08526	2897	1.903215742740636
2023.06.30	14:00:00	1.08525	1.08585	1.08484	1.08529	2862	1.9258297978537435
2023.06.30	15:00:00	1.08529	1.0897000000000001	1.08525	1.08962	6339	1.9137325206166627
2023.06.30	16:00:00	1.08963	1.09159	1.08954	1.09131	7073	1.9139214849583468
2023.06.30	17:00:00	1.09131	1.09311	1.09079	1.09094	8030	1.9088662256523266
2023.06.30	18:00:00	1.09094	1.09184	1.09058	1.09183	5290	1.8986980951075678
2023.06.30	19:00:00	1.09183	1.09217	1.09115	1.09175	3391	1.9242245779349028
2023.06.30	20:00:00	1.09175	1.09222	1.09091	1.0911	2281	1.9279456193353561
2023.06.30	21:00:00	1.0911	1.09151	1.09097	1.09104	2126	1.9112662337663038
2023.06.30	22:00:00	1.09105	1.09139	1.09085	1.09123	2427	1.8860651056539015
2023.06.30	23:00:00	1.09123	1.09124	1.09074	1.09101	655	1.8658145065398366
2023.07.03	00:00:00	1.09097	1.09105	1.09059	1.09062	64	5.307692307692114
2023.07.03	01:00:00	1.09062	1.0912	1.09061	1.09087	381	2.849499999999969
2023.07.03	02:00:00	1.09087	1.09097	1.09059	1.0907	480	2.4447015834348753
2023.07.03	03:00:00	1.0907	1.0909	1.08997	1.09008	1894	1.8750748502994246
2023.07.03	04:00:00	1.09007	1.0917	1.09004	1.09081	2496	1.9028425241614197
2023.07.03	05:00:00	1.09082	1.09099	1.09058	1.09068	1802	1.900356435643597
2023.07.03	06:00:00	1.09069	1.0913	1.09058	1.09119	1467	1.8897092754960232
2023.07.03	07:00:00	1.0912	1.09175	1.09117	1.09168	1356	1.8786842105263526
2023.07.03	08:00:00	1.09168	1.09174	1.09024	1.09026	2001	1.8944648216071327
2023.07.03	09:00:00	1.09025	1.09061	1.08874	1.08896	3500	1.860800495151663
2023.07.03	10:00:00	1.08895	1.08901	1.08695	1.08744	4687	1.8657498786603364
2023.07.03	11:00:00	1.08743	1.08885	1.08723	1.08856	3387	1.900477430555535
2023.07.03	12:00:00	1.08854	1.08911	1.08754	1.08895	3012	1.9041598119859175
2023.07.03	13:00:00	1.08894	1.08955	1.08808	1.08914	2873	1.902834410740876
2023.07.03	14:00:00	1.08913	1.0904	1.08866	1.08985	3607	1.8969917608737745
2023.07.03	15:00:00	1.08982	1.0909200000000001	1.08921	1.09082	3403	1.9157634452915693
2023.07.03	16:00:00	1.09081	1.0919699999999999	1.09038	1.09117	4239	1.8908559986651514
2023.07.03	17:00:00	1.09124	1.09333	1.09019	1.09059	7027	1.8916062286688975
2023.07.03	18:00:00	1.0906	1.09223	1.09011	1.09175	3989	1.8902829486224813
2023.07.03	19:00:00	1.09174	1.09207	1.0913	1.09147	2407	1.897953539822995
2023.07.03	20:00:00	1.09148	1.09156	1.09076	1.09076	1056	1.9042016806722635
2023.07.03	21:00:00	1.09077	1.09119	1.09077	1.0911	837	1.9321259842518963
2023.07.03	22:00:00	1.0911	1.09111	1.09085	1.09088	605	1.8746192893401485
2023.07.03	23:00:00	1.09088	1.0913599999999999	1.09085	1.09132	331	1.8734056987787535
2023.07.04	00:00:00	1.09122	1.0913	1.09088	1.0909200000000001	87	5.055725190839763
2023.07.04	01:00:00	1.09089	1.09148	1.09086	1.0912	264	2.1103703703705277
2023.07.04	02:00:00	1.09121	1.09143	1.09115	1.09121	458	1.895994277539387
2023.07.04	03:00:00	1.09122	1.0913	1.0908	1.09091	1345	1.9043209876543044
2023.07.04	04:00:00	1.09091	1.09156	1.0907499999999999	1.09101	1629	1.8642491864249198
2023.07.04	05:00:00	1.09101	1.09106	1.09018	1.09048	1217	1.88294531672985
2023.07.04	06:00:00	1.09047	1.09085	1.09033	1.09038	992	1.8974202308215056
2023.07.04	07:00:00	1.09038	1.09047	1.08999	1.09	1732	1.8636974789914909
2023.07.04	08:00:00	1.08999	1.09005	1.08934	1.08947	1314	1.8728470111448143
2023.07.04	09:00:00	1.08946	1.09141	1.08946	1.09141	2587	1.8650938189844621
2023.07.04	10:00:00	1.0914	1.0914	1.08954	1.09023	3316	1.8783996501967601
2023.07.04	11:00:00	1.09022	1.09037	1.08914	1.08948	2688	1.895927835051529
2023.07.04	12:00:00	1.08948	1.09023	1.08938	1.08979	2466	1.8833860304685393
2023.07.04	13:00:00	1.08978	1.09032	1.08947	1.0895299999999999	2305	1.8677255400253672
2023.07.04	14:00:00	1.08952	1.0901399999999999	1.08889	1.08975	2258	1.8740959894805977
2023.07.04	15:00:00	1.08975	1.09004	1.0893	1.08999	2217	1.9117059891106278
2023.07.04	16:00:00	1.08998	1.09005	1.0895299999999999	1.08992	2313	1.865363961813788
2023.07.04	17:00:00	1.08993	1.09067	1.08975	1.09011	2302	1.8718544085347075
2023.07.04	18:00:00	1.09012	1.0902	1.0896	1.09004	2133	1.8600814663950318
2023.07.04	19:00:00	1.09004	1.09005	1.08912	1.08936	1243	1.8760638297871928
2023.07.04	20:00:00	1.08938	1.08964	1.08926	1.08931	716	1.8867274569402346
2023.07.04	21:00:00	1.08932	1.0895299999999999	1.08862	1.08868	556	1.8820181112549095
2023.07.04	22:00:00	1.08869	1.08872	1.08801	1.08825	910	1.8833470057423292
2023.07.04	23:00:00	1.08826	1.08828	1.08766	1.08786	499	1.8922746781115745
2023.07.05	00:00:00	1.08788	1.08803	1.0878	1.08786	168	4.882716049382562
2023.07.05	01:00:00	1.08786	1.08809	1.08767	1.08799	344	1.9063778580022892
2023.07.05	02:00:00	1.08799	1.08826	1.0879	1.08817	815	1.8824636441402787
2023.07.05	03:00:00	1.08817	1.08902	1.08817	1.08861	1531	1.8639698965193203
2023.07.05	04:00:00	1.0886	1.08864	1.08756	1.08765	2167	1.8988217054264367
2023.07.05	05:00:00	1.08764	1.08776	1.08744	1.08774	1445	1.9128085700976916
2023.07.05	06:00:00	1.08774	1.08786	1.08746	1.08766	1239	1.9229338842975707
2023.07.05	07:00:00	1.08767	1.08768	1.08744	1.08749	1075	1.946158984635818
2023.07.05	08:00:00	1.08749	1.08833	1.0867	1.08807	1604	1.8810596026489854
2023.07.05	09:00:00	1.08808	1.08881	1.08707	1.08818	3460	1.8695998278829307
2023.07.05	10:00:00	1.0882	1.09071	1.08816	1.0886	5232	1.8867836578009374
2023.07.05	11:00:00	1.08859	1.08933	1.08655	1.08874	5228	1.8922212618841467
2023.07.05	12:00:00	1.08873	1.0895	1.08748	1.08936	3532	1.9027044430135138
2023.07.05	13:00:00	1.08935	1.08941	1.08768	1.08775	2774	1.9025622254758605
2023.07.05	14:00:00	1.08774	1.08815	1.08747	1.08784	2718	1.8815523367039388
2023.07.05	15:00:00	1.08783	1.0901399999999999	1.0875	1.08937	4219	1.8869876499015237
2023.07.05	16:00:00	1.08935	1.09008	1.08849	1.08911	4709	1.9078434225844
2023.07.05	17:00:00	1.0891	1.08944	1.08663	1.08728	5879	1.916109800024822
2023.07.05	18:00:00	1.08728	1.08764	1.08642	1.08664	3981	1.8925811155668666
